code,symbol,name,h_jun,l_jul,mid_line,h_aug18,break_diff,break_pct
600726,sh600726,华电能源,2.02,2.13,2.075,2.09,0.015,0.72
603221,sh603221,爱丽家居,8.73,8.63,8.68,8.74,0.06,0.69
600976,sh600976,健民集团,49.55,43.21,46.38,46.7,0.32,0.69
688106,sh688106,金宏气体,17.226,17.316,17.271,17.386,0.115,0.67
600346,sh600346,恒力石化,13.24,12.55,12.895,12.98,0.085,0.66
600228,sh600228,返利科技,5.02,4.53,4.775,4.8,0.025,0.52
600352,sh600352,浙江龙盛,7.62,7.67,7.645,7.68,0.035,0.46
688379,sh688379,华光新材,13.115,11.765,12.44,12.495,0.055,0.44
000002,sz000002,万 科Ａ,7.13,6.67,6.9,6.93,0.03,0.43
000815,sz000815,美利云,7.33,7.15,7.24,7.27,0.03,0.41
600867,sh600867,通化东宝,7.992,7.172,7.582,7.612,0.03,0.4
600683,sh600683,京投发展,3.81,3.66,3.735,3.75,0.015,0.4
600257,sh600257,大湖股份,4.66,4.21,4.435,4.45,0.015,0.34
600408,sh600408,安泰集团,1.61,1.56,1.585,1.59,0.005,0.32
600982,sh600982,宁波能源,3.29,3.25,3.27,3.28,0.01,0.31
688119,sh688119,中钢洛耐,3.36,3.22,3.29,3.3,0.01,0.3
600722,sh600722,金牛化工,3.86,3.72,3.79,3.8,0.01,0.26
600984,sh600984,建设机械,2.45,2.34,2.395,2.4,0.005,0.21
601619,sh601619,嘉泽新能,2.87,2.8,2.835,2.84,0.005,0.18
688609,sh688609,九联科技,9.0,8.05,8.525,8.54,0.015,0.18
601212,sh601212,白银有色,2.793,2.623,2.708,2.713,0.005,0.18
600651,sh600651,飞乐音响,2.81,2.92,2.865,2.87,0.005,0.17
600127,sh600127,金健米业,6.04,5.86,5.95,5.96,0.01,0.17
603166,sh603166,福达股份,4.59,4.32,4.455,4.46,0.005,0.11
603759,sh603759,海天股份,5.925,5.615,5.77,5.775,0.005,0.09
688207,sh688207,格灵深瞳,11.81,11.43,11.62,11.63,0.01,0.09
600756,sh600756,浪潮软件,10.3,10.43,10.365,10.37,0.005,0.05
